row_number,geonames_admin1_code,geonames_admin1_ascii_name
41703,TR.53,Rize
41864,ZM.08,Copperbelt
41878,NO.06,Hedmark
41927,EG.12,Qalyubia
42004,IR.04,Sistan and Baluchestan
42171,FI.10,South Savo
42490,HU.23,Veszprem
42753,CF.18,Bangui
43050,RU.34,Komi
43103,JP.46,Yamanashi
43110,PL.79,Opole Voivodeship
43253,MX.29,Tlaxcala
43355,RO.21,Hunedoara
43671,MA.01,Tanger-Tetouan-Al Hoceima
43714,RO.02,Arad
44355,UA.02,Chernihiv
44404,CG.12,Brazzaville
44693,VE.04,Aragua
44780,ID.02,Bali
45351,SE.03,Gaevleborg
45691,GH.03,Brong-Ahafo
45949,KE.37,Mombasa
46223,DZ.07,Mostaganem
46248,PT.21,Vila Real
46670,IQ.02,Basra
47199,MY.06,Pahang
47278,SE.10,Dalarna
47358,NG.22,Cross River
47361,KR.16,Jeollanam-do
47620,MY.11,Sarawak
47821,VE.17,Nueva Esparta
48662,NO.11,Oppland
