"region_iso";"country";"continent";"income";"number_of_scholars";"internal_continent_in";"internal_continent_in_transformed";"internal_continent_out";"internal_continent_out_transformed";"internal_income_in";"internal_income_in_transformed";"internal_income_out";"internal_income_out_transformed";"international_continent_in";"international_continent_in_transformed";"international_continent_out";"international_continent_out_transformed";"international_income_in";"international_income_in_transformed";"international_income_out";"international_income_out_transformed";"SE_internal_continent_in";"SE_internal_continent_out";"SE_internal_income_in";"SE_internal_income_out";"SE_international_continent_in";"SE_international_continent_out";"SE_international_income_in";"SE_international_income_out"
"21";"AR.19";"AR";"South America";"Upper-middle";230.8;0.0430063460605455;4.39445197647201;0.0342932153842309;3.48880073297873;0.0430063460605455;4.39445197647201;0.0342932153842309;3.48880073297873;0.00722149950256224;0.724763741050949;-0.0261417801686807;-2.58030419922147;0.00722149950256224;0.724763741050949;-0.0261417801686807;-2.58030419922147;0.000284833839273686;0.000434792166234874;0.000284833839273686;0.000434792166234874;0.00114750371544092;0.000975345275318374;0.00114750371544092;0.000975345275318374
"22";"AR.20";"AR";"South America";"Upper-middle";19.2;-0.0383944430254381;-3.76667196316889;NA;NA;-0.0383944430254381;-3.76667196316889;NA;NA;0.0768394181265849;7.98686551371337;NA;NA;0.0768394181265849;7.98686551371337;NA;NA;0.00324157426987506;NA;0.00324157426987506;NA;0.00881587385602724;NA;0.00881587385602724;NA
"23";"AR.21";"AR";"South America";"Upper-middle";920.5;0.00864094254895413;0.867838325632309;0.0257022383721039;2.60353890160467;0.00864094254895413;0.867838325632309;0.0257022383721039;2.60353890160467;-0.0371473266338487;-3.64658293542401;-0.048285178155757;-4.71379871042118;-0.0371473266338487;-3.64658293542401;-0.048285178155757;-4.71379871042118;0.000102575315251162;6.74212292010177e-05;0.000102575315251162;6.74212292010177e-05;0.000123466831809076;7.36267991158498e-05;0.000123466831809076;7.36267991158498e-05
"24";"AR.22";"AR";"South America";"Upper-middle";27;0.0452164728760381;4.62543210784334;NA;NA;0.0452164728760381;4.62543210784334;NA;NA;0.0473623117073668;4.85018247559723;NA;NA;0.0473623117073668;4.85018247559723;NA;NA;0.00450109727037509;NA;0.00450109727037509;NA;0.0028947054578458;NA;0.0028947054578458;NA
"25";"AR.24";"AR";"South America";"Upper-middle";354.5;0.0107838211709815;1.08421761450677;0.0192945115864358;1.94818536263652;0.0107838211709815;1.08421761450677;0.0192945115864358;1.94818536263652;-0.0547444750942881;-5.32729706162789;-0.0639661846595874;-6.19632809746029;-0.0547444750942881;-5.32729706162789;-0.0639661846595874;-6.19632809746029;0.000180824396293871;0.000150873363892589;0.000180824396293871;0.000150873363892589;0.000347511576595851;0.000644156851192649;0.000347511576595851;0.000644156851192649
"26";"AT.02";"AT";"Europe";"High";140.2;-0.0575864084773755;-5.59596862240769;-0.0414408683875331;-4.05939351081716;-0.0575864084773755;-5.59596862240769;-0.0414408683875331;-4.05939351081716;-0.0372233582316066;-3.65390856117982;0.024305452255229;2.46032374667926;-0.0372233582316066;-3.65390856117982;0.024305452255229;2.46032374667926;0.000575878906164627;0.000445312731264764;0.000575878906164627;0.000445312731264764;0.000266886363771096;0.000535602525693248;0.000266886363771096;0.000535602525693248
"27";"AT.03";"AT";"Europe";"High";235.9;-0.0245221811321918;-2.42239551390773;-0.0191644808349424;-1.89820096862653;-0.0245221811321918;-2.42239551390773;-0.0191644808349424;-1.89820096862653;-0.0042590797353718;-0.425002271802444;-0.0372803180580181;-3.65939626153289;-0.0042590797353718;-0.425002271802444;-0.0372803180580181;-3.65939626153289;0.000503806226505833;0.000596124645931059;0.000503806226505833;0.000596124645931059;9.33096640331326e-05;0.000162903957996339;9.33096640331326e-05;0.000162903957996339
"28";"AT.04";"AT";"Europe";"High";133.5;-0.0483234836123268;-4.71744862196017;-0.0657222250565428;-6.36090658917169;-0.0483234836123268;-4.71744862196017;-0.0657222250565428;-6.36090658917169;-0.0446146710241929;-4.36340736547368;-0.00115621467048573;-0.115554651184002;-0.0446146710241929;-4.36340736547368;-0.00115621467048573;-0.115554651184002;0.000195963375430762;0.000722869121403892;0.000195963375430762;0.000722869121403892;0.000279250571400017;0.000543872297226433;0.000279250571400017;0.000543872297226433
"29";"AT.05";"AT";"Europe";"High";607.6;-0.0429433609104327;-4.20343531674374;-0.0749149159843824;-7.217757417197;-0.0429433609104327;-4.20343531674374;-0.0749149159843824;-7.217757417197;0.00678237066515525;0.680542302816245;-0.000420763395822808;-0.0420674887319339;0.00678237066515525;0.680542302816245;-0.000420763395822808;-0.0420674887319339;0.000164485800986768;0.000362273151278778;0.000164485800986768;0.000362273151278778;7.88964846995494e-05;9.30759649151707e-05;7.88964846995494e-05;9.30759649151707e-05
"30";"AT.06";"AT";"Europe";"High";1940.8;-0.0510876503538491;-4.9804618079109;-0.039230119513466;-3.8470582996101;-0.0510876503538491;-4.9804618079109;-0.039230119513466;-3.8470582996101;-0.00130938274710765;-0.130852587954844;-0.00907121167059398;-0.903019235534108;-0.00130938274710765;-0.130852587954844;-0.00907121167059398;-0.903019235534108;5.82719031933521e-05;0.000111250883271791;5.82719031933521e-05;0.000111250883271791;2.7685593143377e-05;3.41529979567806e-05;2.7685593143377e-05;3.41529979567806e-05
