row_number,nmr_typology,continent_name,country_name,geonames_admin1_ascii_name,n_years_in_typology,n_years,y_pop_INT
1079,Both balanced,Africa,"Congo, The Democratic Republic of the",Tshopo,11,16,28
1080,Net sender,Europe,Italy,Sardinia,11,25,2414
1081,Both balanced,Europe,Slovenia,Kidricevo,11,13,1
1082,Net sender,Europe,Poland,Lower Silesia,11,25,2334
1083,Both balanced,Europe,Slovenia,Brezovica,11,13,1
1084,Both balanced,Europe,Croatia,Slavonski Brod-Posavina,11,17,5
1085,Mixed,Asia,Türkiye,Gumushane,11,12,89
1086,Net sender,Asia,"Iran, Islamic Republic of",Isfahan,11,25,1217
1087,Both balanced,South America,Colombia,Narino,11,23,1
1088,Mixed,Europe,Croatia,Dubrovacko-Neretvanska,11,22,65
1089,Both balanced,Europe,Italy,Aosta Valley,11,21,1
1090,Mixed,Europe,Poland,Lubusz,11,25,60
1091,Both balanced,Africa,Botswana,North-West,11,15,1
1092,Net receiver,Asia,"Iran, Islamic Republic of",Lorestan,11,22,2
1093,Both balanced,Europe,Malta,Il-Belt Valletta,11,14,1
1094,Mixed,Europe,Sweden,Vaestmanland,11,25,24
1095,Both balanced,Europe,Jersey,Trinity,11,22,12
1096,Mixed,Europe,Sweden,Vaesternorrland,11,25,52
1097,Both balanced,Oceania,New Zealand,Taranaki,11,24,2
1098,Both balanced,Europe,Croatia,Karlovacka,11,21,19
1099,Net receiver,Europe,Sweden,Vaermland,11,25,186
1100,Both balanced,South America,Colombia,Huila,11,22,3
1101,Net receiver,Africa,Egypt,Kafr el-Sheikh,11,25,253
1102,Both balanced,North America,Jamaica,St. Andrew,11,24,13
1103,INT rec. IN sen.,North America,United States,Wisconsin,11,25,6984
1104,INT rec. IN sen.,Europe,Sweden,OEstergoetland,11,25,1214
1105,Both balanced,North America,Jamaica,Kingston,11,13,3
1106,Mixed,Asia,Türkiye,Bingoel,11,13,21
1107,Both balanced,South America,Ecuador,Galapagos,11,18,2
1108,Both balanced,South America,Colombia,Caqueta,11,17,9
1109,Mixed,North America,Mexico,Chiapas,11,25,75
1110,IN rec. INT sen.,South America,Argentina,Santa Fe,11,25,1564
1111,Mixed,Asia,Lebanon,Beyrouth,11,25,679
1112,Both balanced,Africa,Eritrea,Maekel,11,21,11
1113,Net receiver,Europe,Sweden,Gaevleborg,11,25,72
1114,Net receiver,Oceania,New Zealand,Bay of Plenty,11,25,122
1115,Mixed,South America,Argentina,Santiago del Estero,11,25,42
1116,Both balanced,Africa,Sudan,Northern Darfur,11,12,3
1117,Net receiver,Asia,China,Sichuan,11,25,10763
1118,Both balanced,Africa,Sudan,Southern Kordofan,11,11,1
1119,Both balanced,Africa,Sudan,Northern State,11,12,1
1120,INT rec. IN sen.,Asia,Türkiye,Izmir,11,25,4177
1121,Net receiver,Europe,Norway,Vestfold,11,25,74
1122,Both balanced,Asia,Thailand,Sara Buri,11,11,4
1123,Both balanced,Europe,Hungary,Bacs-Kiskun,11,21,1
1124,Mixed,Africa,Algeria,Mascara,11,22,34
1125,Net receiver,North America,Mexico,Hidalgo,11,25,316
1126,Mixed,Asia,Türkiye,Sivas,11,25,342
1127,Net receiver,Asia,Türkiye,Tekirdag,11,16,10
1128,Net receiver,South America,Brazil,Sergipe,11,25,27
1129,Mixed,Europe,Ukraine,Poltava,11,25,32
1130,Mixed,North America,Puerto Rico,San Juan,11,25,207
1131,IN rec. INT sen.,Europe,France,Brittany,11,25,2623
1132,Net sender,Europe,Hungary,Csongrad,11,25,1469
1133,Mixed,Asia,Cyprus,Pafos,11,15,15
1134,Both balanced,North America,Cayman Islands,George Town,11,12,2
1135,Net receiver,Europe,Austria,Upper Austria,11,25,69
1136,Both balanced,Europe,Portugal,Beja,11,23,8
1137,INT rec. IN sen.,Asia,Saudi Arabia,Eastern Province,11,25,776
1138,Mixed,Asia,Indonesia,Aceh,11,24,10
1139,Net receiver,North America,Mexico,Queretaro,11,25,341
1140,INT rec. IN sen.,Oceania,Australia,ACT,11,25,8051
1141,Net receiver,Asia,China,Shanxi,11,25,2247
1142,Net sender,Asia,"Korea, Republic of",Gwangju,11,25,4248
1143,Mixed,Africa,Algeria,Jijel,11,24,11
1144,Net receiver,Asia,Japan,Fukushima,11,25,602
1145,Net receiver,Europe,Norway,Oslo,11,25,2805
1146,Net sender,Europe,Spain,Andalusia,11,25,13046
1147,Mixed,South America,Brazil,Piaui,11,25,21
1148,Mixed,Asia,Indonesia,Jambi,11,19,32
1149,Mixed,Asia,Türkiye,Sinop,11,14,63
1150,Net receiver,Asia,China,Shanghai,11,25,6178
1151,Net receiver,Oceania,Australia,Western Australia,11,25,6289
1152,Mixed,Asia,Indonesia,East Java,11,25,54
1153,Mixed,Europe,Faroe Islands,Streymoy,11,20,12
1154,IN rec. INT sen.,Asia,India,Uttarakhand,11,25,784
1155,Both balanced,Asia,Azerbaijan,Ganja City,11,15,7
1156,Mixed,Europe,Russian Federation,Volgograd Oblast,11,25,198
1157,Both balanced,Asia,Azerbaijan,Nakhichevan,11,12,3
1158,Mixed,Europe,Czechia,Liberecky kraj,11,25,317
1159,Both balanced,Asia,Thailand,Phetchaburi,11,19,7
1160,Mixed,Asia,Indonesia,Lampung,11,25,38
1161,IN rec. INT sen.,Asia,Japan,Hyogo,11,25,5206
1162,INT rec. IN sen.,South America,Brazil,Minas Gerais,11,25,2459
1163,Net receiver,Europe,Czechia,Olomoucky,11,25,588
1164,IN rec. INT sen.,Asia,Bangladesh,Dhaka,11,25,2822
1165,Mixed,Europe,Russian Federation,Tambov,11,25,61
1166,Net receiver,Europe,Czechia,Moravskoslezsky,11,25,525
1167,Mixed,South America,Brazil,Mato Grosso do Sul,11,25,230
1168,Mixed,Asia,Indonesia,West Sumatra,11,25,342
1169,Mixed,Africa,Côte d'Ivoire,Lacs,11,21,22
1170,Both balanced,Europe,Russian Federation,North Ossetia,11,25,13
1171,Net sender,Europe,Finland,Northern Ostrobothnia,11,25,1245
1172,Net receiver,Asia,"Korea, Republic of",Jeollabuk-do,11,25,2625
1173,Mixed,Asia,Indonesia,North Sulawesi,11,25,190
1174,Net sender,Asia,Malaysia,Penang,11,25,1199
1175,Net receiver,Asia,Malaysia,Perlis,11,18,576
1176,INT rec. IN sen.,Asia,Malaysia,Selangor,11,25,1627
1177,Mixed,Asia,Indonesia,South Sulawesi,11,25,55
1178,Net receiver,Asia,Malaysia,Sabah,11,25,126
1179,Both balanced,Asia,Qatar,Baladiyat ar Rayyan,11,18,3
1180,IN rec. INT sen.,Europe,Germany,Bavaria,11,25,38286
1181,Net receiver,Europe,Spain,Basque Country,11,25,2790
1182,Mixed,Europe,Netherlands,Friesland,11,25,40
1183,Both balanced,Africa,Mozambique,Gaza,11,12,3
1184,Mixed,Europe,Romania,Arges,11,25,24
1185,Net sender,Europe,Finland,Central Finland,11,25,520
1186,INT rec. IN sen.,Europe,Ireland,Leinster,11,25,5025
1187,Both balanced,Europe,Romania,Bihor,11,23,26
1188,Both balanced,Europe,Russian Federation,Mordoviya Republic,11,25,49
1189,Both balanced,South America,Chile,Atacama,11,23,6
1190,Both balanced,Africa,"Tanzania, United Republic of",Manyara,11,20,1
1191,Net receiver,Europe,Ireland,Munster,11,25,2183
1192,Mixed,South America,Brazil,Acre,11,24,217
1193,IN rec. INT sen.,Asia,India,Tamil Nadu,11,25,2335
1194,Net receiver,Asia,China,Hebei,11,25,3538
1195,Both balanced,Asia,Kyrgyzstan,Issyk-Kul,11,13,4
1196,IN rec. INT sen.,Europe,Germany,Bremen,11,25,2502
1197,Mixed,Europe,Romania,Constanta,11,25,172
1198,Mixed,Africa,Kenya,Mombasa,11,25,8
1199,Mixed,South America,Chile,Region of Magallanes,11,25,83
